date,campaign_id,category_name,product_type,detail_views,wish_adds,funding_count,comment_count,backed_amount,funding_amount_dod,participation_dod,signature_dod,comment_dod,wish_dod,total_funding_amount,participation_cnt,signature_cnt,comment_cnt,wish_cnt,detail_view_cnt,achievement_rate,daily_conversion_rate,cumulative_conversion_rate,title,maker_name,remaining_day,target_amount
2026-03-27,399800,스킨케어,PREORDER,1070,93,13,1,666702,659626,14,3,1,93,659626,14,3,1,93,1070,6.59626,0.013084112149532711,0.013084112149532711,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-03-28,399800,스킨케어,PREORDER,782,60,11,0,745076,737169,12,2,0,60,1396795,26,5,1,153,1852,13.967950000000002,0.015345268542199489,0.014038876889848811,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-03-29,399800,스킨케어,PREORDER,916,60,9,2,438105,433455,10,2,2,60,1830250,36,7,3,213,2768,18.3025,0.010917030567685589,0.01300578034682081,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-03-30,399800,스킨케어,PREORDER,680,67,5,0,493190,487956,5,2,0,67,2318206,41,9,3,280,3448,23.18206,0.007352941176470588,0.011890951276102088,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-03-31,399800,스킨케어,PREORDER,556,45,6,0,384499,380418,6,1,0,45,2698624,47,10,3,325,4004,26.98624,0.01079136690647482,0.011738261738261738,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-01,399800,스킨케어,PREORDER,439,58,7,1,426356,421831,8,2,1,58,3120455,55,12,4,383,4443,31.204549999999998,0.018223234624145785,0.012379023182534324,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-02,399800,스킨케어,PREORDER,748,35,4,0,270855,267980,4,1,0,35,3388435,59,13,4,418,5191,33.884350000000005,0.0053475935828877,0.011365825467154691,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-03,399800,스킨케어,PREORDER,488,51,8,0,312164,308851,9,2,0,51,3697286,68,15,4,469,5679,36.972860000000004,0.018442622950819672,0.011973939073780596,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-04,399800,스킨케어,PREORDER,533,49,7,2,396600,392391,8,2,2,49,4089677,76,17,6,518,6212,40.89677,0.0150093808630394,0.012234385061171926,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-05,399800,스킨케어,PREORDER,491,51,6,1,327543,324067,6,2,1,51,4413744,82,19,7,569,6703,44.13744,0.012219959266802444,0.012233328360435626,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-06,399800,스킨케어,PREORDER,509,28,7,0,304851,301616,8,1,0,28,4715360,90,20,7,597,7212,47.153600000000004,0.015717092337917484,0.012479201331114808,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-07,399800,스킨케어,PREORDER,323,35,5,1,282840,279838,5,1,1,35,4995198,95,21,8,632,7535,49.95198,0.015479876160990712,0.012607830126078301,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-08,399800,스킨케어,PREORDER,464,36,4,1,340031,336422,4,1,1,36,5331620,99,22,9,668,7999,53.3162,0.008620689655172414,0.012376547068383549,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-09,399800,스킨케어,PREORDER,503,49,6,0,402643,398370,6,2,0,49,5729990,105,24,9,717,8502,57.2999,0.011928429423459244,0.012350035285815103,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-10,399800,스킨케어,PREORDER,481,38,7,0,420480,416017,8,1,0,38,6146007,113,25,9,755,8983,61.46007,0.016632016632016633,0.012579316486697094,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-11,399800,스킨케어,PREORDER,528,57,6,1,275243,272322,6,2,1,57,6418329,119,27,10,812,9511,64.18329,0.011363636363636364,0.012511828409210389,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-12,399800,스킨케어,PREORDER,635,51,5,1,305199,301960,5,2,1,51,6720289,124,29,11,863,10146,67.20289000000001,0.007874015748031496,0.012221565148827124,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-13,399800,스킨케어,PREORDER,518,39,8,2,369430,365509,9,1,2,39,7085798,133,30,13,902,10664,70.85798,0.017374517374517374,0.012471867966991748,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-14,399800,스킨케어,PREORDER,489,41,7,1,405490,401187,8,1,1,41,7486985,141,31,14,943,11153,74.86985,0.016359918200409,0.012642338384291222,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-15,399800,스킨케어,PREORDER,591,76,7,0,559774,553833,8,2,0,76,8040818,149,33,14,1019,11744,80.40818,0.01353637901861252,0.01268732970027248,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-16,399800,스킨케어,PREORDER,756,74,8,1,620220,613638,9,2,1,74,8654456,158,35,15,1093,12500,86.54456,0.011904761904761904,0.01264,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-04-17,399800,스킨케어,PREORDER,811,74,10,1,854614,845544,10,1,1,74,9500000,168,36,16,1167,13311,95.0,0.012330456226880395,0.012621140410187063,13층 깊은 보습에 피부 열감까지 내리는 클린 크림,메이커 브레바,-23,10000000.0
2026-03-27,398196,홈리빙,PREORDER,632,45,3,0,176957,193736,3,1,0,45,193736,3,1,0,45,632,1.9373600000000002,0.004746835443037975,0.004746835443037975,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-03-28,398196,홈리빙,PREORDER,673,25,2,1,129641,141933,2,1,1,25,335669,5,2,1,70,1305,3.3566899999999995,0.0029717682020802376,0.0038314176245210726,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-03-29,398196,홈리빙,PREORDER,553,16,3,0,174106,190614,3,0,0,16,526283,8,2,1,86,1858,5.26283,0.0054249547920434,0.004305705059203444,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-03-30,398196,홈리빙,PREORDER,324,21,2,0,116216,127235,2,0,0,21,653518,10,2,1,107,2182,6.53518,0.006172839506172839,0.00458295142071494,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-03-31,398196,홈리빙,PREORDER,311,24,4,0,117765,128931,4,1,0,24,782449,14,3,1,131,2493,7.824490000000001,0.012861736334405145,0.005615724027276374,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-01,398196,홈리빙,PREORDER,424,20,2,0,87670,95983,2,0,0,20,878432,16,3,1,151,2917,8.78432,0.0047169811320754715,0.005485087418580734,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-02,398196,홈리빙,PREORDER,479,20,2,1,92014,100739,2,0,1,20,979171,18,3,2,171,3396,9.79171,0.0041753653444676405,0.00530035335689046,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-03,398196,홈리빙,PREORDER,310,18,2,0,98541,107884,2,0,0,18,1087055,20,3,2,189,3706,10.87055,0.0064516129032258064,0.005396654074473826,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-04,398196,홈리빙,PREORDER,270,20,2,0,90222,98777,2,0,0,20,1185832,22,3,2,209,3976,11.858319999999999,0.007407407407407408,0.005533199195171026,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-05,398196,홈리빙,PREORDER,337,16,1,0,131494,143962,1,0,0,16,1329794,23,3,2,225,4313,13.29794,0.002967359050445104,0.005332715047530721,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-06,398196,홈리빙,PREORDER,524,26,2,0,98938,108319,2,1,0,26,1438113,25,4,2,251,4837,14.38113,0.003816793893129771,0.0051684928674798425,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-07,398196,홈리빙,PREORDER,447,23,1,0,86068,94229,1,0,0,23,1532342,26,4,2,274,5284,15.323419999999999,0.0022371364653243847,0.004920514761544285,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-08,398196,홈리빙,PREORDER,418,28,3,1,125198,137069,3,1,1,28,1669411,29,5,3,302,5702,16.694110000000002,0.007177033492822967,0.005085934759733427,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-09,398196,홈리빙,PREORDER,432,23,3,1,142656,156182,3,0,1,23,1825593,32,5,4,325,6134,18.25593,0.006944444444444444,0.005216824258232801,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-04-10,398196,홈리빙,PREORDER,666,53,1,1,159302,174407,5,3,1,53,2000000,37,8,5,378,6800,20.0,0.0075075075075075074,0.005441176470588235,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,-30,10000000.0
2026-03-27,394880,테크·가전,PREORDER,119,7,1,1,51257,54176,1,0,1,7,54176,1,0,1,7,119,5.4176,0.008403361344537815,0.008403361344537815,"보이지 않는 바람의 차이, 공간까지 시원한 감성 선풍기",스튜디오 그린웨이,1,1000000.0
2026-03-28,394880,테크·가전,PREORDER,109,7,0,0,43836,46332,0,0,0,7,100508,1,0,1,14,228,10.0508,0.0,0.0043859649122807015,"보이지 않는 바람의 차이, 공간까지 시원한 감성 선풍기",스튜디오 그린웨이,1,1000000.0
2026-03-29,394880,테크·가전,PREORDER,70,6,0,0,28061,29659,0,0,0,6,130167,1,0,1,20,298,13.0167,0.0,0.003355704697986577,"보이지 않는 바람의 차이, 공간까지 시원한 감성 선풍기",스튜디오 그린웨이,1,1000000.0
2026-03-30,394880,테크·가전,PREORDER,108,5,2,0,22987,24296,2,0,0,5,154463,3,0,1,25,406,15.446299999999999,0.018518518518518517,0.007389162561576354,"보이지 않는 바람의 차이, 공간까지 시원한 감성 선풍기",스튜디오 그린웨이,1,1000000.0
