funding_id,campaign_id,user_id_hash,product_type,funding_created_at,backed_amount,dont_show_amount,dont_show_name,active_user,has_membership,status
f_00000001,399800,u_fb1200f940c9,PREORDER,2026-04-12 01:35:57,78960,False,True,False,False,success
f_00000002,399800,u_0305272b7560,PREORDER,2026-04-02 10:43:53,102654,False,False,True,False,success
f_00000003,399800,u_0bc21addd433,PREORDER,2026-04-05 05:08:03,64429,False,False,True,False,success
f_00000004,399800,u_3f447ba8aef2,PREORDER,2026-04-09 15:00:56,87754,False,True,True,False,success
f_00000005,399800,u_674527ccb7e7,PREORDER,2026-04-01 02:53:41,35215,False,False,True,False,success
f_00000006,399800,u_b391e0a39716,PREORDER,2026-04-17 03:44:17,103233,False,False,True,False,success
f_00000007,399800,u_4f5d2578ad85,PREORDER,2026-04-03 20:10:10,74251,False,False,True,True,success
f_00000008,399800,u_89b4402f4ebc,PREORDER,2026-04-08 12:34:03,56290,False,False,False,False,success
f_00000009,399800,u_4cf79d6bde89,PREORDER,2026-04-16 02:08:16,40376,False,False,True,False,success
f_00000010,399800,u_71dcdae425b7,PREORDER,2026-04-06 06:28:43,47576,False,False,True,False,success
f_00000011,399800,u_f77f80c74a0b,PREORDER,2026-04-05 10:02:30,34348,False,False,True,False,success
f_00000012,399800,u_42796525475c,PREORDER,2026-04-08 10:10:43,35062,True,True,True,False,success
f_00000013,399800,u_27993d9721c6,PREORDER,2026-03-30 02:14:03,45766,False,True,False,False,success
f_00000014,399800,u_fc2f47ff8fdc,PREORDER,2026-03-30 11:27:30,55477,False,False,True,False,success
f_00000015,399800,u_1c56e4d059a1,PREORDER,2026-04-15 07:01:30,129440,False,True,True,False,success
f_00000016,399800,u_eee1dfb1d375,PREORDER,2026-04-06 22:25:51,51623,False,False,True,False,success
f_00000017,399800,u_e996d9de6bf9,PREORDER,2026-04-04 15:33:26,46094,False,False,True,False,success
f_00000018,399800,u_df21921b5d2d,PREORDER,2026-04-12 19:53:10,33883,False,True,True,False,success
f_00000019,399800,u_0795b7362575,PREORDER,2026-03-30 13:28:09,57592,False,False,True,False,success
f_00000020,399800,u_ba6c058d7611,PREORDER,2026-04-08 00:43:40,61848,False,False,True,False,success
f_00000021,399800,u_b16460288b28,PREORDER,2026-04-12 18:50:04,57231,False,False,True,True,success
f_00000022,399800,u_ba0751513389,PREORDER,2026-04-05 04:28:44,30457,False,False,True,False,success
f_00000023,399800,u_dd0f399ccd90,PREORDER,2026-04-06 09:54:12,45891,False,False,True,False,success
f_00000024,399800,u_18fffd9cc56e,PREORDER,2026-03-30 20:35:55,52060,False,False,True,True,success
f_00000025,399800,u_f100093fd069,PREORDER,2026-04-08 11:47:52,83889,False,False,False,False,success
f_00000026,399800,u_6c9f9b9bfcdd,PREORDER,2026-04-16 06:47:01,49784,False,False,True,False,success
f_00000027,399800,u_2f815a555c42,PREORDER,2026-04-11 08:08:30,53905,False,False,True,False,success
f_00000028,399800,u_49ed8f2f0db7,PREORDER,2026-04-13 10:20:07,39004,False,False,True,True,success
f_00000029,399800,u_3447a83803f7,PREORDER,2026-03-28 10:52:17,75913,False,False,True,False,success
f_00000030,399800,u_6fc5ffa360a5,PREORDER,2026-04-03 06:04:36,39067,False,False,True,True,success
f_00000031,399800,u_20ed48189e82,PREORDER,2026-04-01 23:18:29,104076,False,False,True,False,success
f_00000032,399800,u_a6e04022eee2,PREORDER,2026-04-15 18:01:48,72403,False,True,True,False,success
f_00000033,399800,u_fdf45aa2bab1,PREORDER,2026-03-29 05:25:12,42411,False,False,True,False,success
f_00000034,399800,u_ebac98b0e97a,PREORDER,2026-04-15 11:36:18,63594,False,False,False,False,success
f_00000035,399800,u_87b8e7f187e2,PREORDER,2026-04-03 02:23:44,37202,True,False,True,False,success
f_00000036,399800,u_b9de1f59f2fc,PREORDER,2026-04-04 11:01:32,50771,False,False,True,False,success
f_00000037,399800,u_939d68a9e425,PREORDER,2026-04-06 05:59:38,27760,False,False,True,False,success
f_00000038,399800,u_c0afe0e703e4,PREORDER,2026-04-07 11:27:18,35495,False,False,True,False,success
f_00000039,399800,u_a800bafa6cae,PREORDER,2026-04-06 10:14:50,30192,False,True,True,True,success
f_00000040,399800,u_aea24c19800c,PREORDER,2026-03-29 01:49:33,35458,False,False,True,False,success
f_00000041,399800,u_4c28931acabb,PREORDER,2026-04-08 12:49:37,24322,False,False,True,False,success
f_00000042,399800,u_c88e7d23d842,PREORDER,2026-04-02 01:32:46,94264,False,False,True,False,success
f_00000043,399800,u_74fe9cbd3b25,PREORDER,2026-04-12 04:39:05,32877,False,False,True,True,success
f_00000044,399800,u_3148c10d3e61,PREORDER,2026-03-28 20:34:48,33201,False,False,False,False,success
f_00000045,399800,u_1dc149be901c,PREORDER,2026-04-07 14:46:00,28637,True,False,True,False,success
f_00000046,399800,u_04627823c529,PREORDER,2026-04-02 02:55:19,56989,False,False,True,False,success
f_00000047,399800,u_15ea42a8d5e0,PREORDER,2026-03-31 19:00:48,92389,True,False,False,True,success
f_00000048,399800,u_23b3bc5ea1d7,PREORDER,2026-04-01 18:07:13,77757,True,False,True,False,success
f_00000049,399800,u_2519a807f27c,PREORDER,2026-04-11 22:15:19,75884,True,False,True,False,success
f_00000050,399800,u_799259773fa4,PREORDER,2026-04-11 15:16:30,44511,False,False,False,False,success
f_00000051,399800,u_42e61dae260d,PREORDER,2026-04-04 18:03:16,63757,False,False,True,False,success
f_00000052,399800,u_4fb8610ea5e4,PREORDER,2026-04-11 10:24:54,99983,False,False,True,False,success
f_00000053,399800,u_8921c8d7e6ff,PREORDER,2026-03-28 05:36:14,43000,True,False,True,False,success
f_00000054,399800,u_72bfdd138c39,PREORDER,2026-03-28 06:18:06,129903,False,False,True,False,success
f_00000055,399800,u_db0c1f56bb87,PREORDER,2026-04-05 22:53:34,43354,False,False,True,False,success
f_00000056,399800,u_fbe9b7cca930,PREORDER,2026-04-15 16:38:06,46884,False,False,True,False,success
f_00000057,399800,u_18fffd9cc56e,PREORDER,2026-04-04 20:09:14,69328,False,False,True,True,success
f_00000058,399800,u_335e9a4a4d57,PREORDER,2026-04-15 08:43:03,30296,False,False,True,False,success
f_00000059,399800,u_13e391fc6a16,PREORDER,2026-04-10 04:05:02,47441,False,False,True,False,success
f_00000060,399800,u_131e9bd7ec90,PREORDER,2026-04-12 15:31:30,64820,False,False,True,False,success
f_00000061,399800,u_d920612a2d40,PREORDER,2026-04-09 08:08:04,71672,False,False,True,False,success
f_00000062,399800,u_7abb72637951,PREORDER,2026-04-05 12:56:13,93968,False,False,True,False,success
f_00000063,399800,u_35b4328c301d,PREORDER,2026-04-01 13:35:57,36345,False,False,True,False,success
f_00000064,399800,u_8cb5a3047176,PREORDER,2026-04-17 02:15:24,42458,False,True,True,False,success
f_00000065,399800,u_ac8f13611906,PREORDER,2026-04-06 08:24:37,111591,False,False,True,True,success
f_00000066,399800,u_0c0c8155cd3a,PREORDER,2026-04-02 07:35:48,80883,False,False,True,False,success
f_00000067,399800,u_7a6b27c7c161,PREORDER,2026-04-16 04:46:56,55600,False,False,True,False,success
f_00000068,399800,u_73365f0f1055,PREORDER,2026-04-05 19:48:02,113020,True,False,True,True,success
f_00000069,399800,u_8ebf1e74ff32,PREORDER,2026-04-06 18:49:11,52281,False,True,True,True,success
f_00000070,399800,u_e6d9d9da9ef8,PREORDER,2026-04-10 04:07:01,57827,False,False,True,False,success
f_00000071,399800,u_6af0b1c33c21,PREORDER,2026-04-02 18:52:48,87062,False,False,True,False,success
f_00000072,399800,u_2e939fbd9b97,PREORDER,2026-03-28 15:00:53,61791,False,False,False,False,success
f_00000073,399800,u_5d622c0f0237,PREORDER,2026-03-28 05:40:01,33331,False,False,True,True,success
f_00000074,399800,u_1c56e4d059a1,PREORDER,2026-04-09 12:44:25,19060,False,False,True,False,success
f_00000075,399800,u_e496af04f1d2,PREORDER,2026-04-08 22:08:39,88743,False,False,True,False,success
f_00000076,399800,u_333698d08a08,PREORDER,2026-04-15 22:59:26,38828,False,False,True,False,success
f_00000077,399800,u_e1a232da374b,PREORDER,2026-03-28 18:37:57,37600,False,False,True,False,success
f_00000078,399800,u_9f81107751c8,PREORDER,2026-04-03 14:54:41,64321,False,True,True,True,success
f_00000079,399800,u_135901bab55f,PREORDER,2026-03-28 08:07:23,61581,False,False,True,False,success
f_00000080,399800,u_bb038adb9a10,PREORDER,2026-04-12 01:54:26,39295,False,False,True,False,success
f_00000081,399800,u_f91943e4a966,PREORDER,2026-04-13 10:49:46,29683,False,False,True,False,success
f_00000082,399800,u_bde1e6da60d3,PREORDER,2026-03-28 13:40:36,50007,False,False,True,False,success
f_00000083,399800,u_fbbc42710beb,PREORDER,2026-04-14 22:51:25,68667,False,False,False,True,success
f_00000084,399800,u_0ed282b213a0,PREORDER,2026-04-16 11:36:14,42569,False,True,True,True,success
f_00000085,399800,u_5779147efd47,PREORDER,2026-04-05 22:07:02,55072,False,True,False,False,success
f_00000086,399800,u_cd9f2ca5875e,PREORDER,2026-04-06 11:27:14,82187,False,False,True,False,success
f_00000087,399800,u_c34849a15a9d,PREORDER,2026-04-16 14:41:29,33082,False,False,True,False,success
f_00000088,399800,u_7871972c57fb,PREORDER,2026-04-03 07:17:07,61128,False,False,True,False,success
f_00000089,399800,u_2fa869f3f708,PREORDER,2026-03-29 14:34:47,22671,False,True,True,True,success
f_00000090,399800,u_0916dc6dc976,PREORDER,2026-04-08 23:53:52,72961,False,False,False,True,success
f_00000091,399800,u_de2b4760dcd4,PREORDER,2026-04-13 19:48:42,21145,False,False,True,False,success
f_00000092,399800,u_871946ef6494,PREORDER,2026-04-14 12:47:33,90404,False,False,True,True,success
f_00000093,399800,u_e2add242e686,PREORDER,2026-03-28 05:44:25,24678,False,False,True,False,success
f_00000094,399800,u_0f8cf7b54337,PREORDER,2026-04-14 18:37:33,53751,True,True,True,False,success
f_00000095,399800,u_b0bdca88fc6b,PREORDER,2026-04-09 21:33:41,23534,False,False,True,False,success
f_00000096,399800,u_c9aacc490a05,PREORDER,2026-03-31 10:27:26,46814,False,False,True,True,success
f_00000097,399800,u_550aa5407e23,PREORDER,2026-04-14 14:40:37,68489,False,False,True,False,success
f_00000098,399800,u_987e35cb4e91,PREORDER,2026-04-15 23:44:03,111661,False,False,True,False,success
f_00000099,399800,u_0c7071b09de2,PREORDER,2026-04-01 11:10:42,45348,False,False,True,False,success
f_00000100,399800,u_8b42a60b1630,PREORDER,2026-04-11 10:50:26,33578,True,True,True,False,success
f_00000101,399800,u_a1a725e9e8d2,PREORDER,2026-04-15 19:09:44,81873,True,False,True,False,success
f_00000102,399800,u_a6bd8ef0a88b,PREORDER,2026-04-07 01:40:08,73148,False,True,True,False,success
f_00000103,399800,u_ee1c52a62818,PREORDER,2026-04-14 19:06:36,57041,False,False,True,True,success
f_00000104,399800,u_4d8b1e7db53a,PREORDER,2026-04-04 02:01:01,56151,False,False,True,True,success
f_00000105,399800,u_da45cd884c37,PREORDER,2026-04-07 21:19:53,31236,False,False,False,True,success
f_00000106,399800,u_74bff53cd750,PREORDER,2026-03-30 04:04:01,27836,False,False,True,False,success
f_00000107,399800,u_2d72834192bb,PREORDER,2026-04-12 16:10:37,50086,False,False,True,True,success
f_00000108,399800,u_e4f9c02f4b9c,PREORDER,2026-04-08 04:36:37,92190,False,False,True,False,success
f_00000109,399800,u_a06ac4875605,PREORDER,2026-04-03 19:39:30,38662,False,False,True,True,success
f_00000110,399800,u_e20c4c145b0e,PREORDER,2026-03-30 00:12:44,32109,False,False,True,False,success
f_00000111,399800,u_5baba96672cb,PREORDER,2026-04-06 14:42:16,87296,False,False,False,True,success
f_00000112,399800,u_01572b60fb7b,PREORDER,2026-04-03 12:16:17,35840,False,True,True,False,success
f_00000113,399800,u_0a7fbec78017,PREORDER,2026-04-03 15:41:17,95111,False,False,True,True,success
f_00000114,399800,u_f954c8d7f718,PREORDER,2026-04-09 16:36:48,57733,False,True,True,False,success
f_00000115,399800,u_2cd1c689a9c4,PREORDER,2026-04-02 16:29:51,60427,False,False,True,True,success
f_00000116,399800,u_225bd9e62b74,PREORDER,2026-03-28 04:01:36,87096,False,False,True,False,success
f_00000117,399800,u_6e98007d42b8,PREORDER,2026-04-14 09:49:57,42163,False,True,True,False,success
f_00000118,399800,u_4b4a3f093996,PREORDER,2026-04-05 19:08:06,53496,False,False,True,False,success
f_00000119,399800,u_07052929ec7e,PREORDER,2026-04-10 00:24:23,48681,False,False,True,False,success
f_00000120,399800,u_57e226744ea8,PREORDER,2026-03-30 09:05:29,77695,False,False,False,False,success
f_00000121,399800,u_e82262504e61,PREORDER,2026-04-02 04:31:28,87344,False,False,True,False,success
f_00000122,399800,u_32bac8c3d0e0,PREORDER,2026-03-28 08:30:01,75612,False,False,True,True,success
f_00000123,399800,u_cba3157bb850,PREORDER,2026-04-15 11:15:34,45598,False,False,True,False,success
f_00000124,399800,u_8c9fd1da72fb,PREORDER,2026-04-07 14:26:44,72791,False,False,True,False,success
f_00000125,399800,u_1c443ae3c952,PREORDER,2026-04-08 07:45:34,63854,False,False,True,True,success
f_00000126,399800,u_fe37e5b77a49,PREORDER,2026-03-30 09:28:00,77393,False,False,True,False,success
f_00000127,399800,u_d44d1875e942,PREORDER,2026-04-04 06:56:35,73373,False,False,True,False,success
f_00000128,399800,u_37978c9d033f,PREORDER,2026-03-31 05:45:09,34282,False,False,True,False,success
f_00000129,399800,u_42d34d287bd8,PREORDER,2026-04-12 00:57:04,33377,False,False,True,False,success
f_00000130,399800,u_9d826dbe7958,PREORDER,2026-03-30 01:34:04,52845,False,False,False,False,success
f_00000131,399800,u_01572b60fb7b,PREORDER,2026-03-31 20:35:53,51916,False,False,True,False,success
f_00000132,399800,u_c7c5cf682f59,PREORDER,2026-04-17 17:47:54,98920,True,False,True,False,success
f_00000133,399800,u_0bdec8cb2ef1,PREORDER,2026-04-11 03:41:08,81902,False,False,True,False,success
f_00000134,399800,u_b49712e738b6,PREORDER,2026-03-29 18:52:06,73628,False,False,True,True,success
f_00000135,399800,u_dc2e0b9f0609,PREORDER,2026-04-06 12:52:40,41278,False,False,True,False,success
f_00000136,399800,u_e4238baf9b6e,PREORDER,2026-04-17 02:12:40,61064,False,False,True,False,success
f_00000137,399800,u_78c44c97b38f,PREORDER,2026-04-09 10:54:20,63079,False,False,True,False,success
f_00000138,399800,u_86284235b4f5,PREORDER,2026-04-17 03:07:52,80751,False,False,True,True,success
f_00000139,399800,u_96d3524e3e0f,PREORDER,2026-04-15 05:04:14,88439,True,False,True,False,success
f_00000140,399800,u_511c399ff983,PREORDER,2026-03-29 04:19:50,78895,False,False,True,False,success
