user_id_hash,nick_name_alias,signature_cnt,total_funding_count,follower_cnt,following_cnt,is_premium_member,active_user,interest_keywords
u_21d951c616ad,익명의 서포터 410,5,0,20,2,False,True,스킨케어|패션·잡화·뷰티
u_95db23625140,익명의 서포터 3658,4,3,6,5,True,False,스포츠·모빌리티|공연·컬쳐
u_9ca1ff20c42e,익명의 서포터 9675,5,0,9,5,False,False,홈리빙·디자인소품|패션·잡화·뷰티|여행·레저|스킨케어
u_04e4908b9536,익명의 서포터 1536,6,0,17,2,False,True,반려동물|교육·키즈|스킨케어
u_15a06064eaca,익명의 서포터 9864,4,2,18,6,True,True,공연·컬쳐|스포츠·모빌리티|여행·레저
u_ee6f19d31f87,익명의 서포터 3258,8,2,2,10,False,True,교육·키즈|여행·레저
u_9db1d8d24f22,익명의 서포터 3612,2,5,21,3,False,False,스킨케어|푸드|반려동물
u_7c223e9b367c,익명의 서포터 9655,3,2,4,13,False,True,테크·가전
u_9f018685643c,익명의 서포터 2616,2,1,10,6,False,True,스포츠·모빌리티|교육·키즈
u_94dc92ddd56a,익명의 서포터 5575,5,1,10,2,False,True,반려동물
u_48d7b3991984,익명의 서포터 5515,4,1,7,5,False,True,스포츠·모빌리티|홈리빙·디자인소품|공연·컬쳐
u_6efd7b0d3c0b,익명의 서포터 5882,9,2,12,2,False,True,패션·잡화·뷰티|홈리빙·디자인소품|테크·가전|스킨케어
u_56f0f2aca518,익명의 서포터 712,5,1,19,9,False,True,출판|스킨케어|스포츠·모빌리티
u_7b3225568cae,익명의 서포터 2046,4,0,8,8,False,False,테크·가전|여행·레저
u_3ee802576ebf,익명의 서포터 5926,5,2,10,4,False,True,반려동물|패션·잡화·뷰티|여행·레저|스포츠·모빌리티
u_e7f7f27448b7,익명의 서포터 751,10,1,5,3,False,True,여행·레저|공연·컬쳐|패션·잡화·뷰티
u_d349419833ed,익명의 서포터 4742,2,2,21,24,False,False,스킨케어|공연·컬쳐
u_0fc4c48975ab,익명의 서포터 1655,4,7,19,12,False,True,패션·잡화·뷰티|스포츠·모빌리티
u_8543081bc143,익명의 서포터 5978,4,2,32,15,True,True,반려동물|스포츠·모빌리티|푸드
u_fdcae16084ca,익명의 서포터 3433,4,0,15,5,False,True,홈리빙·디자인소품|반려동물|스킨케어
u_9069c614a039,익명의 서포터 1170,5,2,5,2,False,False,스킨케어|스포츠·모빌리티
u_21ae9f2827dd,익명의 서포터 4011,7,3,17,9,False,True,여행·레저|홈리빙·디자인소품|푸드
u_6ed809e106ee,익명의 서포터 6217,2,3,9,11,False,True,홈리빙·디자인소품|푸드
u_f9716fc10ad0,익명의 서포터 3599,4,3,12,2,False,True,스포츠·모빌리티|여행·레저
u_eecdf7462896,익명의 서포터 5314,8,2,26,2,True,True,스킨케어
u_a7a3f5b28d34,익명의 서포터 5169,7,0,10,10,False,False,교육·키즈|스포츠·모빌리티|패션·잡화·뷰티
u_3d755d227d08,익명의 서포터 1085,6,1,19,10,False,False,반려동물|스포츠·모빌리티
u_b908d2d32d38,익명의 서포터 3484,9,2,9,3,True,True,공연·컬쳐|스킨케어|반려동물
u_52a367f48536,익명의 서포터 6483,6,6,12,5,False,True,스킨케어|테크·가전
u_4e62e3116955,익명의 서포터 2341,7,2,15,13,True,True,스킨케어|테크·가전
u_538fb287fc63,익명의 서포터 4041,7,3,12,4,False,True,스포츠·모빌리티|홈리빙·디자인소품
u_7122ba49ac75,익명의 서포터 8831,2,2,9,10,False,True,푸드
u_359082fcad04,익명의 서포터 9578,2,2,3,7,False,False,스포츠·모빌리티
u_651963d887a0,익명의 서포터 9561,4,5,18,1,False,True,반려동물
u_982a1dbe046b,익명의 서포터 3594,4,0,5,16,False,True,반려동물|출판
